Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Population,Continent,Annual_Co2_emissions,Annual_Co2_emission_per_capita
China,12791553,13.20%,138.7,5.42,1.43,1439323774,Asia,10667887453,7.41173573709066
India,4443000,4.60%,51.4,5.05,1.33,1380004385,Asia,2441792313,1.769409097203702
Japan,4012877,4.10%,481.5,4.69,1.24,126476458,Asia,1030775384,8.149938734052784
Russia,3631287,3.70%,383.2,3.41,0.9,145934460,Europe,1577136041,10.807153026091301
Saudi Arabia,3302000,3.40%,1560.2,2.35,0.62,34813867,Asia,625507882,17.96720490717104
Brazil,2984000,3.10%,221.9,5.36,1.42,212559409,South America,467383500,2.1988370319565576
Canada,2486301,2.60%,1047.6,6.76,1.79,37742157,North America,535822990,14.196936068068394
Germany,2383393,2.50%,444.5,7.65,2.02,83783945,Europe,644310352,7.690141016873818
Mexico,2052607,2.10%,255.1,4.36,1.15,128932753,North America,356968119,2.7686379968943964
Iran,1803999,1.90%,347.6,0.2,0.05,83992953,Asia,745035109,8.870209730571087
France,1705568,1.80%,404.3,8.27,2.19,65273512,Europe,276633893,4.238072757598825
Indonesia,1623000,1.70%,95.1,4.48,1.18,273523621,Asia,589500368,2.1552082626165583
United Kingdom,1583896,1.60%,366.2,8.38,2.22,67886004,Europe,329578911,4.854887481667061
Singapore,1357000,1.40%,3679.5,8.71,2.3,5850343,Asia,45503904,7.777989085426273
Thailand,1302000,1.30%,289.4,5.7,1.51,69799978,Asia,257765782,3.6929206768517893
Italy,1236628,1.30%,312.5,8.01,2.12,60461828,Europe,303815294,5.024910824727297
Spain,1290063,1.30%,424.1,8.35,2.21,46754783,Europe,208914968,4.468312215244374
Australia,1114645,1.10%,704.3,5.22,1.38,25499881,Oceania,391891928,15.368382621079682
Turkey,941861,1.00%,180.9,6.06,1.6,84339067,Asia,392794051,4.6573203258224325
Taiwan,981203,1.00%,636.9,3.94,1.04,23816775,Asia,273174653,11.469842285531941
Netherlands,937098,1.00%,846.0,9.33,2.47,17134873,Europe,138100074,8.05959133750218
Egypt,877000,0.90%,142.3,1.97,0.52,102334403,Africa,213456746,2.0858747375503817
Iraq,857000,0.90%,358.9,1.95,0.51,40222503,Asia,210829146,5.241572012562222
United Arab Emirates,896000,0.90%,1467.3,4.15,1.1,9890400,Asia,150268152,15.193334142198495
South Africa,640000,0.70%,174.6,5.59,1.48,59308690,Africa,451957087,7.620419317978529
Argentina,709000,0.70%,249.8,3.96,1.05,45195777,South America,156978063,3.473290502340517
Malaysia,708000,0.70%,353.7,1.76,0.46,32365998,Asia,272607434,8.422648793341704
Belgium,631522,0.70%,852.6,8.36,2.21,11589616,Europe,83748962,7.226206804435971
Pakistan,556000,0.60%,41.9,3.9,1.03,220892331,Asia,234754740,1.062756406875891
Poland,582161,0.60%,234.9,6.8,1.8,37846605,Europe,299592767,7.915974682537575
Venezuela,598000,0.60%,307.1,0.08,0.02,28435943,South America,84609478,2.9754412575661724
Vietnam,478000,0.50%,78.3,5.38,1.42,97338583,Asia,254303169,2.6125628826957548
Nigeria,428000,0.40%,35.3,1.57,0.42,206139587,Africa,125462961,0.6086310874388237
Philippines,429000,0.40%,63.4,5.88,1.55,109581085,Asia,136017950,1.2412539080079377
Colombia,357000,0.40%,113.6,2.28,0.6,50882884,South America,89104941,1.7511770952291148
Algeria,429000,0.40%,162.2,1.18,0.31,43851043,Africa,154995460,3.534590043844567
Chile,351989,0.40%,296.3,5.26,1.39,19116209,South America,81171490,4.246212729731089
